"id","название","вид_животного"
1,Альбинос,
2,Частичный альбинос,
3,Меланист,
4,Персидская,Кошка
5,Мейн-кун,Кошка
6,Сиамская,Кошка
7,Рэгдолл,Кошка
8,Британская короткошерстная,Кошка
9,Шотландская вислоухая,Кошка
10,Лабрадор Ретривер,Собака
11,Немецкая овчарка,Собака
12,Золотистый Ретривер,Собака
13,Бульдог,Собака
14,Пудель,Собака
15,Боксер,Собака
16,Далматин,Собака
17,Скинни,Морская свинка
18,Тедди,Морская свинка
19,Куй,Морская свинка
20,Шелти,Морская свинка
21,Коронет,Морская свинка
22,Петушок вуалехвостый,Петушок
23,Петушок дельта,Петушок
24,Петушок супердельта,Петушок
25,Петушок полумесяц,Петушок
26,Петушок розохвостый,Петушок
27,Петушок коронохвостый,Петушок
28,Скалярия розовая светящаяся/флуоресцирующая,Скалярия
29,Бельгийский фландр,Домашний кролик
30,Черно-бурый,Домашний кролик
31,Серебристый,Домашний кролик
32,Белый великан,Домашний кролик
33,Бабочка,Домашний кролик
34,Венский голубой,Домашний кролик
35,Однотонный,Волнистый попугай
36,Пестряк,Волнистый попугай
37,Арлекин,Волнистый попугай
38,Пингвин,Волнистый попугай
39,Остроконечный хохолок,Волнистый попугай
40,Полукруглый хохолок,Волнистый попугай
41,Круглый хохолок,Волнистый попугай
42,Двойной хохолок,Волнистый попугай
